mim_number,mim_name,prefix
306980,HIRSCHSPRUNG DISEASE WITH TYPE D BRACHYDACTYLY,
306990,HOLOPROSENCEPHALY WITH FETAL AKINESIA/HYPOKINESIA SEQUENCE,
306995,HOMOSEXUALITY 1; HMS1,
307000,HYDROCEPHALUS DUE TO CONGENITAL STENOSIS OF AQUEDUCT OF SYLVIUS; HSAS,Number Sign
307010,HYDROCEPHALUS WITH CEREBELLAR AGENESIS,
307030,GLYCEROL KINASE DEFICIENCY; GKD,Number Sign
307150,"HYPERTRICHOSIS, CONGENITAL GENERALIZED; HTC2",Number Sign
307200,"ISOLATED GROWTH HORMONE DEFICIENCY, TYPE III; IGHD3",Number Sign
307300,MOVED TO 312300,Caret
307500,"HYPOGONADISM, MALE, WITH MENTAL RETARDATION AND SKELETAL ANOMALIES",
307600,MOVED TO 602014,Caret
307700,"HYPOPARATHYROIDISM, X-LINKED; HYPX",Percent
307800,"HYPOPHOSPHATEMIC RICKETS, X-LINKED DOMINANT; XLHR",Number Sign
307810,MOVED TO 307800 AND 300550,Caret
307830,"HYPOURICEMIA, FAMILIAL RENAL, DUE TO TUBULAR HYPERSECRETION",
308000,HYPOXANTHINE GUANINE PHOSPHORIBOSYLTRANSFERASE 1; HPRT1,Asterisk
308050,CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS,Number Sign
308100,"ICHTHYOSIS, X-LINKED; XLI",Number Sign
308200,ICHTHYOSIS AND MALE HYPOGONADISM,
308205,IFAP SYNDROME WITH OR WITHOUT BRESHECK SYNDROME,Number Sign
308210,REMOVED FROM DATABASE,Caret
308220,"IMMUNODEFICIENCY, X-LINKED, WITH DEFICIENCY OF 115,000 DALTON SURFACE GLYCOPROTEIN",
308230,"IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 1; HIGM1",Number Sign
308240,"LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 1; XLP1",Number Sign
308250,"IMMUNOGLOBULIN M, LEVEL OF",Percent
308280,"IMPACTED TEETH, MULTIPLE",Percent
308290,IMPRINTING GENE RELATED TO RETINOBLASTOMA,
308300,INCONTINENTIA PIGMENTI; IP,Number Sign
308310,MOVED TO 308300,Caret
308350,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1; EIEE1",Number Sign
308370,MOVED TO 312300,Caret
308380,"INTERLEUKIN 2 RECEPTOR, GAMMA; IL2RG",Asterisk
308385,"INTERLEUKIN 3 RECEPTOR, ALPHA; IL3RA",Asterisk
308400,REMOVED FROM DATABASE,Caret
308500,IRIS HYPOPLASIA WITH GLAUCOMA; IHG,
308600,"JAUNDICE, FAMILIAL OBSTRUCTIVE, OF INFANCY",
308700,HYPOGONADOTROPIC HYPOGONADISM 1 WITH OR WITHOUT ANOSMIA; HH1,Number Sign
308750,KALLMANN SYNDROME WITH SPASTIC PARAPLEGIA,
308800,"KERATOSIS FOLLICULARIS SPINULOSA DECALVANS, X-LINKED; KFSDX",Number Sign
308830,"KERATOSIS FOLLICULARIS, DWARFISM, AND CEREBRAL ATROPHY",
308840,L1 CELL ADHESION MOLECULE; L1CAM,Asterisk
308850,LARYNGEAL ABDUCTOR PARALYSIS,
308905,"LEBER OPTIC ATROPHY, SUSCEPTIBILITY TO",Percent
308930,MOVED TO 312170,Caret
308940,"LEIOMYOMATOSIS, DIFFUSE, WITH ALPORT SYNDROME; DL-ATS",Number Sign
308950,LESCH-NYHAN PHENOTYPE WITH NORMAL HGPRT,
308960,"LEUKEMIA, ACUTE, ?X-LINKED",
308980,MOVED TO 151660,Caret
308990,"PROTEINURIA, LOW MOLECULAR WEIGHT, WITH HYPERCALCIURIA AND NEPHROCALCINOSIS",Number Sign
309000,LOWE OCULOCEREBRORENAL SYNDROME; OCRL,Number Sign
309050,"LUTHERAN SUPPRESSOR, X-LINKED; XS",
309060,LYSOSOME-ASSOCIATED MEMBRANE PROTEIN 2; LAMP2,Asterisk
309100,"MACULAR DYSTROPHY, X-LINKED",Percent
309120,"SPERMATOGENIC FAILURE, X-LINKED, 2; SPGFX2",Number Sign
309150,MOVED TO 614279,Caret
309200,MAJOR AFFECTIVE DISORDER 2; MAFD2,Percent
309300,MEGALOCORNEA; MGC1,Number Sign
309350,MELNICK-NEEDLES SYNDROME; MNS,Number Sign
309400,MENKES DISEASE,Number Sign
309470,MOVED TO 309500,Caret
309480,MENTAL RETARDATION AND PSORIASIS,
309490,MOVED TO 309580,Caret
309500,RENPENNING SYNDROME 1; RENS1,Number Sign
309510,PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME; PRTS,Number Sign
309520,LUJAN-FRYNS SYNDROME,Number Sign
309530,"MENTAL RETARDATION, X-LINKED 1; MRX1",Number Sign
309540,MOVED TO 309548,Caret
309541,"METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEMIA, cblX TYPE",Number Sign
309545,"MENTAL RETARDATION, X-LINKED, SYNDROMIC 12; MRXS12",Percent
309548,"MENTAL RETARDATION, X-LINKED, ASSOCIATED WITH FRAGILE SITE FRAXE",Number Sign
309549,"MENTAL RETARDATION, X-LINKED 9; MRX9",Number Sign
309550,FMR1 GENE; FMR1,Asterisk
309555,"MENTAL RETARDATION WITH OPTIC ATROPHY, DEAFNESS, AND SEIZURES",Percent
309560,MENTAL RETARDATION WITH SPASTIC PARAPLEGIA AND PALMOPLANTAR HYPERKERATOSIS,Percent
309580,"MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1",Number Sign
309583,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR",Number Sign
309585,WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME; WTS,Number Sign
309590,MOVED TO 309580,Caret
309600,MOVED TO 300523,Caret
309605,MOVED TO 314580,Caret
309610,PRIETO X-LINKED MENTAL RETARDATION SYNDROME; PRS,Percent
309620,"MENTAL RETARDATION, SKELETAL DYSPLASIA, AND ABDUCENS PALSY; MRSD",Percent
309630,METACARPAL 4-5 FUSION; MF4,Number Sign
309640,MENTAL RETARDATION WITH SPASTIC PARAPLEGIA,
309645,MOVED TO 602111,Caret
309660,MOVED TO 300257,Caret
309700,MOVED TO 310600,Caret
309800,"MICROPHTHALMIA, SYNDROMIC 1; MCOPS1",Number Sign
309801,LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 1; LSDMCA1,Number Sign
309840,"MODIFIER, X-LINKED, FOR NEUROFUNCTIONAL DEFECTS",
309845,MOESIN; MSN,Asterisk
309850,MONOAMINE OXIDASE A; MAOA,Asterisk
309860,MONOAMINE OXIDASE B; MAOB,Asterisk
309900,"MUCOPOLYSACCHARIDOSIS, TYPE II; MPS2",Number Sign
309930,"MUSCULAR DYSTROPHY, CARDIAC TYPE",
309950,"MUSCULAR DYSTROPHY, HEMIZYGOUS LETHAL TYPE",
310000,"MUSCULAR DYSTROPHY, MABRY TYPE",
310095,"MUSCULAR DYSTROPHY, PROGRESSIVE PECTORODORSAL",
310200,"MUSCULAR DYSTROPHY, DUCHENNE TYPE; DMD",Number Sign
310300,"EMERY-DREIFUSS MUSCULAR DYSTROPHY 1, X-LINKED; EDMD1",Number Sign
310305,MOVED TO 601415,Caret
310310,MYCL-RELATED PROCESSED GENE; MYCL2,Asterisk
310350,MYELOLYMPHATIC INSUFFICIENCY,
310370,"MYOCLONIC EPILEPSY, PROGRESSIVE",
310400,"MYOPATHY, CENTRONUCLEAR, X-LINKED; CNMX",Number Sign
310440,"MYOPATHY, X-LINKED, WITH EXCESSIVE AUTOPHAGY; MEAX",Number Sign
310450,MOVED TO 159000,Caret
310460,"MYOPIA 1, X-LINKED; MYP1",Percent
310465,N SYNDROME; NSX,
310468,"NEPHROLITHIASIS, X-LINKED RECESSIVE, WITH RENAL FAILURE; XRN",Number Sign
310470,"NEUROPATHY, HEREDITARY SENSORY, X-LINKED",
310490,COWCHOCK SYNDROME; COWCK,Number Sign
310500,"NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1A; CSNB1A",Number Sign
310600,NORRIE DISEASE; ND,Number Sign
310650,NUCLEAR RIBONUCLEIC ACID; nRNA,
310700,"NYSTAGMUS 1, CONGENITAL, X-LINKED; NYS1",Number Sign
310800,"NYSTAGMUS, MYOCLONIC",
310900,"OCCIPITAL HAIR, WHITE LOCK OF",
310980,"OMPHALOCELE, X-LINKED",
310990,MOVED TO 190020,Caret
311000,"OPHTHALMOPLEGIA, EXTERNAL, AND MYOPIA; OPEM",Percent
311010,V-RAF MURINE SARCOMA 3611 VIRAL ONCOGENE HOMOLOG 1; ARAF1,Asterisk
311020,MOVED TO 311010,Caret
311030,MCF.2 CELL LINE-DERIVED TRANSFORMING SEQUENCE; MCF2,Asterisk
311040,"ELK1, MEMBER OF ETS ONCOGENE FAMILY; ELK1",Asterisk
311050,OPTIC ATROPHY 2; OPA2,Percent
311070,"CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 5; CMTX5",Number Sign
311100,OPTIC ATROPHY--SPASTIC PARAPLEGIA SYNDROME,
311150,MOVED TO 304700,Caret
311200,OROFACIODIGITAL SYNDROME I; OFD1,Number Sign
311240,"TBC1 DOMAIN FAMILY, MEMBER 25; TBC1D25",Asterisk
311241,MOVED TO 258870,Caret
311250,"ORNITHINE TRANSCARBAMYLASE DEFICIENCY, HYPERAMMONEMIA DUE TO",Number Sign
311280,MOVED TO 300373,Caret
311300,"OTOPALATODIGITAL SYNDROME, TYPE I; OPD1",Number Sign
311350,OUABAIN RESISTANCE; OUBR,
311360,PREMATURE OVARIAN FAILURE 1; POF1,Number Sign
311400,PAINE SYNDROME,
311450,PALLISTER W SYNDROME,
311510,WAISMAN SYNDROME; WSMN,Number Sign
311550,CYCLIN-DEPENDENT KINASE 16; CDK16,Asterisk
311601,MOVED TO 312080,Caret
311700,REMOVED FROM DATABASE,Caret
311750,MOVED TO 170650,Caret
311770,PHOSPHATIDYLINOSITOL GLYCAN ANCHOR BIOSYNTHESIS CLASS A PROTEIN; PIGA,Asterisk
311790,"6-PHOSPHOFRUCTO-2-KINASE/FRUCTOSE-2,6-BISPHOSPHATASE 1; PFKFB1",Asterisk
311800,PHOSPHOGLYCERATE KINASE 1; PGK1,Asterisk
311810,MOVED TO 311800,Caret
311850,PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE I; PRPS1,Asterisk
311860,PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE II; PRPS2,Asterisk
311870,"PHOSPHORYLASE KINASE, MUSCLE, ALPHA-1 SUBUNIT; PHKA1",Asterisk
311895,PIERRE ROBIN SEQUENCE WITH FACIAL AND DIGITAL ANOMALIES,
311900,TARP SYNDROME; TARPS,Number Sign
312000,"PANHYPOPITUITARISM, X-LINKED; PHPX",Number Sign
312030,REMOVED FROM DATABASE,Caret
312040,"POLYMERASE, DNA, ALPHA-1; POLA1",Asterisk
312060,"PROPERDIN DEFICIENCY, X-LINKED; CFPD",Number Sign
312070,UBIQUITIN-LIKE 4A; UBL4A,Asterisk
312080,PELIZAEUS-MERZBACHER DISEASE; PMD,Number Sign
312090,SOLUTE CARRIER FAMILY 10 (SODIUM/BILE ACID COTRANSPORTER FAMILY) MEMBER 3; SLC10A3,Asterisk
312095,A-KINASE ANCHOR PROTEIN 17A; AKAP17A,Asterisk
312100,MOVED TO 312300,Caret
312150,"MULTIPLE PTERYGIUM SYNDROME, X-LINKED",Percent
312170,PYRUVATE DEHYDROGENASE E1-ALPHA DEFICIENCY; PDHAD,Number Sign
312173,RIBOSOMAL PROTEIN L10; RPL10,Asterisk
312180,UBIQUITIN-CONJUGATING ENZYME E2A; UBE2A,Asterisk
312190,"RADIAL APLASIA, X-LINKED",
312200,"RADIAL LOOP, PLAIN, ON RIGHT INDEX FINGER",
312210,RADIATION SENSITIVITY OF NATURAL KILLER ACTIVITY,
312300,"ANDROGEN INSENSITIVITY, PARTIAL; PAIS",Number Sign
312390,MOVED TO 314310,Caret
312400,MOVED TO 604278,Caret
312420,RENIN-BINDING PROTEIN; RENBP,Asterisk
312450,MOVED TO 252010,Caret
312500,"RETICULOENDOTHELIOSIS, X-LINKED",Percent
312530,REMOVED FROM DATABASE,Caret
312550,"RETINAL DYSPLASIA, PRIMARY; PRD",
312600,RETINITIS PIGMENTOSA 2; RP2,Number Sign
312610,RETINITIS PIGMENTOSA GTPase REGULATOR; RPGR,Asterisk
312612,RETINITIS PIGMENTOSA 6; RP6,Percent
312700,"RETINOSCHISIS 1, X-LINKED, JUVENILE; RS1",Number Sign
312750,RETT SYNDROME; RTT,Number Sign
312760,"RIBOSOMAL PROTEIN S4, X-LINKED; RPS4X",Asterisk
312780,"RUSSELL-SILVER SYNDROME, X-LINKED",
312800,MOVED TO 600145,Caret
312820,"SARCOMA, SYNOVIAL, X BREAKPOINT 1; SSX1",Asterisk
312830,SCARF SYNDROME,
312840,SCHIMKE X-LINKED MENTAL RETARDATION SYNDROME,
312860,MOVED TO 272440,Caret
312861,5-HYDROXYTRYPTAMINE RECEPTOR 2C; HTR2C,Asterisk
312863,"COMBINED IMMUNODEFICIENCY, X-LINKED; CIDX",Number Sign
312865,SHORT STATURE HOMEOBOX; SHOX,Asterisk
312870,"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1; SGBS1",Number Sign
312890,MOVED TO 312920,Caret
312900,MOVED TO 303350,Caret
312910,SPASTIC PARAPARESIS AND DEAFNESS,
312920,"SPASTIC PARAPLEGIA 2, X-LINKED; SPG2",Number Sign
313000,"SPATIAL VISUALIZATION, APTITUDE FOR",Percent
313020,SPERMIDINE/SPERMINE N(1)-ACETYLTRANSFERASE 1; SAT1,Asterisk
313100,MOVED TO 605041,Caret
313200,"SPINAL AND BULBAR MUSCULAR ATROPHY, X-LINKED 1; SMAX1",Number Sign
313350,SPLIT-HAND/FOOT MALFORMATION 2; SHFM2,Percent
313400,"SPONDYLOEPIPHYSEAL DYSPLASIA TARDA, X-LINKED; SEDT",Number Sign
313420,"SPONDYLOMETAPHYSEAL DYSPLASIA, X-LINKED",Percent
313430,SRY-BOX 3; SOX3,Asterisk
313440,SYNAPSIN I; SYN1,Asterisk
313450,REMOVED FROM DATABASE,Caret
313460,REMOVED FROM DATABASE,Caret
313470,"CD99 ANTIGEN, X CHROMOSOME; CD99",Asterisk
313475,SYNAPTOPHYSIN; SYP,Asterisk
313480,TaqI POLYMORPHISM; TAQ1,
313490,"TAURODONTISM, MICRODONTIA, AND DENS INVAGINATUS",
313500,"TOOTH AGENESIS, SELECTIVE, X-LINKED, 1; STHAGX1",Number Sign
313550,REMOVED FROM DATABASE,Caret
313650,"TAF1 RNA POLYMERASE II, TATA BOX-BINDING PROTEIN-ASSOCIATED FACTOR, 250-KD; TAF1",Asterisk
313680,MOVED TO 187395,Caret
313700,ANDROGEN RECEPTOR; AR,Asterisk
313850,THORACOABDOMINAL SYNDROME; THAS,Percent
313900,THROMBOCYTOPENIA 1; THC1,Number Sign
314000,THROMBOCYTOPENIA WITH ELEVATED SERUM IgA AND RENAL DISEASE,
314050,"THROMBOCYTOPENIA WITH BETA-THALASSEMIA, X-LINKED; XLTT",Number Sign
314100,"THUMBS, CONGENITAL CLASPED",
314200,THYROXINE-BINDING GLOBULIN OF SERUM; TBG,Asterisk
314240,TOOTH SIZE,
314250,"DYSTONIA 3, TORSION, X-LINKED; DYT3",Number Sign
314300,"TORTICOLLIS, KELOIDS, CRYPTORCHIDISM, AND RENAL DYSPLASIA; TKCR",Percent
314310,TRANSCRIPTION FACTOR FOR IMMUNOGLOBULIN HEAVY-CHAIN ENHANCER 3; TFE3,Asterisk
314320,TRIGONOCEPHALY WITH SHORT STATURE AND DEVELOPMENTAL DELAY,
314350,REMOVED FROM DATABASE,Caret
314360,ULNAR HYPOPLASIA WITH LOBSTER-CLAW DEFORMITY OF FEET,
314370,UBIQUITIN-LIKE MODIFIER-ACTIVATING ENZYME 1; UBA1,Asterisk
314375,"SOLUTE CARRIER FAMILY 35 (UDP-GALACTOSE TRANSPORTER), MEMBER 2; SLC35A2",Asterisk
314380,UNIQUE GREEN PHENOMENON,Percent
314390,"VACTERL ASSOCIATION, X-LINKED, WITH OR WITHOUT HYDROCEPHALUS; VACTERLX",Number Sign
314400,"CARDIAC VALVULAR DYSPLASIA, X-LINKED; CVD1",Number Sign
314500,VAN DEN BOSCH SYNDROME,Percent
314550,"VESICOURETERAL REFLUX, X-LINKED; VURX",
314555,MOVED TO 604492,Caret
314560,"VON WILLEBRAND DISEASE, X-LINKED FORM",
314570,WIDOW'S PEAK SYNDROME,
314580,WIEACKER-WOLFF SYNDROME; WRWF,Number Sign
314600,WILDERVANCK SYNDROME,Percent
314670,X INACTIVATION-SPECIFIC TRANSCRIPT; XIST,Asterisk
314690,LYSINE-SPECIFIC DEMETHYLASE 5C; KDM5C,Asterisk
314700,"BLOOD GROUP, XG SYSTEM; XG",
314705,XG REGULATOR; XGR,Percent
314800,XH ANTIGEN,
314850,"KELL BLOOD GROUP PROTEIN, MCLEOD SYNDROME-ASSOCIATED; XK",Asterisk
314900,XM SYSTEM,Percent
314920,REMOVED FROM DATABASE,Caret
314940,REMOVED FROM DATABASE,Caret
314960,REMOVED FROM DATABASE,Caret
314980,"ZINC FINGER PROTEIN, X-LINKED; ZFX",Asterisk
314990,ZINC FINGER PROTEIN 711; ZNF711,Asterisk
314993,ZINC FINGER PROTEIN 182; ZNF182,Asterisk
314995,ZINC FINGER PROTEIN 41; ZNF41,Asterisk
314997,ZINC FINGER PROTEIN 75D; ZNF75D,Asterisk
314998,ZINC FINGER PROTEIN 81; ZNF81,Asterisk
315000,MOVED TO 302200,Caret
400000,REMOVED FROM DATABASE,Caret
400001,MOVED TO 426000,Caret
400002,MOVED TO 314700,Caret
400003,DELETED IN AZOOSPERMIA; DAZ,Asterisk
400004,"RETINITIS PIGMENTOSA, Y-LINKED; RPY",Percent
400005,"UBIQUITIN-SPECIFIC PROTEASE 9, Y CHROMOSOME; USP9Y",Asterisk
400006,"RNA-BINDING MOTIF PROTEIN, Y CHROMOSOME, FAMILY 1, MEMBER A1; RBMY1A1",Asterisk
400007,MOVED TO 400006,Caret
400008,"PROTEIN KINASE, Y-LINKED; PRKY",Asterisk
400009,UBIQUITOUSLY TRANSCRIBED TETRATRICOPEPTIDE REPEAT GENE ON Y CHROMOSOME; UTY,Asterisk
400010,"DEAD/H BOX 3, Y-LINKED; DDX3Y",Asterisk
400011,"ACETYLSEROTONIN METHYLTRANSFERASE-LIKE, Y-LINKED",Asterisk
400012,"VARIABLY CHARGED, Y CHROMOSOME; VCY",Asterisk
400013,"BASIC PROTEIN, Y CHROMOSOME, 2; BPY2",Asterisk
400014,"EUKARYOTIC TRANSLATION INITIATION FACTOR 1A, Y-LINKED; EIF1AY",Asterisk
400015,XK-RELATED PROTEIN ON Y CHROMOSOME,Asterisk
400016,"CHROMODOMAIN PROTEIN, Y CHROMOSOME, 1; CDY1",Asterisk
400017,"THYMOSIN, BETA-4, Y CHROMOSOME; TMSB4Y",Asterisk
400018,"CHROMODOMAIN PROTEIN, Y CHROMOSOME, 2; CDY2",Asterisk
400019,PTPBL-RELATED GENE ON Y; PRY,Asterisk
400020,"SHORT STATURE HOMEOBOX, Y-LINKED; SHOXY",Asterisk
400021,"LYMPHOMA, HODGKIN, Y-LINKED PSEUDOAUTOSOMAL",Percent
400022,"PROTOCADHERIN 11, Y-LINKED; PCDH11Y",Asterisk
400023,"CYTOKINE RECEPTOR-LIKE FACTOR 2, Y-LINKED; CRLF2Y",Asterisk
400024,MOVED TO 415000,Caret
400025,"TRANSFORMING GROWTH FACTOR-BETA-INDUCED FACTOR 2-LIKE, Y-LINKED; TGIF2LY",Asterisk
400026,DELETED IN AZOOSPERMIA 2; DAZ2,Asterisk
400027,DELETED IN AZOOSPERMIA 3; DAZ3,Asterisk
400028,"NEUROLIGIN 4, Y-LINKED; NLGN4Y",Asterisk
400029,"HEAT-SHOCK TRANSCRIPTION FACTOR, Y-LINKED; HSFY",Asterisk
400030,"RIBOSOMAL PROTEIN S4, Y-LINKED, 2; RPS4Y2",Asterisk
400031,CHROMOSOME Y OPEN READING FRAME 15A; CYORF15A,Asterisk
400032,CHROMOSOME Y OPEN READING FRAME 15B; CYORF15B,Asterisk
400033,"TRANSDUCIN-BETA-LIKE 1, Y-LINKED; TBL1Y",Asterisk
400034,"CHONDROITIN SULFATE PROTEOGLYCAN 4 PSEUDOGENE 1, Y-LINKED; CSPG4P1Y",Asterisk
400035,"GOLGI AUTOANTIGEN, GOLGIN SUBFAMILY A, 2-LIKE, Y-LINKED; GOLGA2LY",Asterisk
400036,"TESTIS-SPECIFIC TRANSCRIPT, Y-LINKED, 3; TTTY3",Asterisk
400037,"TESTIS-SPECIFIC TRANSCRIPT, Y-LINKED, 4; TTTY4",Asterisk
400038,"TESTIS-SPECIFIC TRANSCRIPT, Y-LINKED, 5; TTTY5",Asterisk
400039,"TESTIS-SPECIFIC TRANSCRIPT, Y-LINKED, 6; TTTY6",Asterisk
400040,"TESTIS-SPECIFIC TRANSCRIPT, Y-LINKED, 17; TTTY17",Asterisk
400041,"PTPBL-RELATED GENE ON Y, 2; PRY2",Asterisk
400042,"SPERMATOGENIC FAILURE, Y-LINKED, 1; SPGFY1",Number Sign
400043,"DEAFNESS, Y-LINKED 1; DFNY1",Percent
400044,"46,XY SEX REVERSAL 1; SRXY1",Number Sign
400045,"46,XX SEX REVERSAL 1; SRXX1",Number Sign
400046,"PHOSPHOLIPASE C, PHOSPHATIDYLINOSITOL-SPECIFIC, X DOMAIN-CONTAINING PROTEIN 1, Y-LINKED",Asterisk
402500,"ACETYLSEROTONIN METHYLTRANSFERASE, Y-CHROMOSOMAL; ASMT",Asterisk
403000,"ADENINE NUCLEOTIDE TRANSLOCATOR 3, Y-CHROMOSOMAL; ANT3Y",Asterisk
410000,"AMELOGENIN, Y-CHROMOSOMAL; AMELY",Asterisk
415000,"SPERMATOGENIC FAILURE, Y-LINKED, 2; SPGFY2",Number Sign
424000,REMOVED FROM DATABASE,Caret
424500,GONADOBLASTOMA; GBY,
425000,"GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR RECEPTOR, ALPHA SUBUNIT, Y-CHROMOSOMAL; CSF2RY",Asterisk
425500,"HAIRY EARS, Y-LINKED",
426000,LYSINE-SPECIFIC DEMETHYLASE 5D; KDM5D,Asterisk
430000,"INTERLEUKIN 3 RECEPTOR, Y-CHROMOSOMAL; IL3RA",Asterisk
450000,"CD99 ANTIGEN, Y CHROMOSOME",Asterisk
465000,"A-KINASE ANCHOR PROTEIN 17A, Y-CHROMOSOMAL; AKAP17A",Asterisk
470000,"RIBOSOMAL PROTEIN S4, Y-LINKED, 1; RPS4Y1",Asterisk
475000,"GROWTH CONTROL, Y-CHROMOSOME INFLUENCED; GCY",Percent
480000,SEX-DETERMINING REGION Y; SRY,Asterisk
480100,"TESTIS-SPECIFIC PROTEIN, Y-LINKED, 1; TSPY1",Asterisk
488000,MOVED TO 475000,Caret
489000,"UBIQUITIN-ACTIVATING ENZYME, Y-LINKED",
489500,XG REGULATOR; XGR,Asterisk
490000,"ZINC FINGER PROTEIN, Y-LINKED; ZFY",Asterisk
500000,"CARDIOMYOPATHY, INFANTILE HISTIOCYTOID",Number Sign
500001,LEBER OPTIC ATROPHY AND DYSTONIA,Number Sign
500002,MITOCHONDRIAL MYOPATHY WITH DIABETES,Number Sign
500003,"STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL",Number Sign
500004,RETINITIS PIGMENTOSA-DEAFNESS SYNDROME,Number Sign
500005,"HYPOMAGNESEMIA, HYPERTENSION, AND HYPERCHOLESTEROLEMIA, MITOCHONDRIAL",Number Sign
500006,"CARDIOMYOPATHY, INFANTILE HYPERTROPHIC",Number Sign
500007,CYCLIC VOMITING SYNDROME; CVS,Number Sign
500008,"DEAFNESS, NONSYNDROMIC SENSORINEURAL, MITOCHONDRIAL",Number Sign
500009,"MITOCHONDRIAL MYOPATHY, INFANTILE, TRANSIENT; MMIT",Number Sign
500010,"ATAXIA AND POLYNEUROPATHY, ADULT-ONSET",Number Sign
500011,"MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA 3; MLASA3",Number Sign
502000,AGING,Number Sign
502500,"ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL",Number Sign
510000,REMOVED FROM DATABASE,Caret
515000,CHLORAMPHENICOL TOXICITY,Number Sign
516000,"COMPLEX I, SUBUNIT ND1; MTND1",Asterisk
516001,"COMPLEX I, SUBUNIT ND2; MTND2",Asterisk
516002,"COMPLEX I, SUBUNIT ND3; MTND3",Asterisk
516003,"COMPLEX I, SUBUNIT ND4; MTND4",Asterisk
516004,"COMPLEX I, SUBUNIT ND4L; MTND4L",Asterisk
516005,"COMPLEX I, SUBUNIT ND5; MTND5",Asterisk
516006,"COMPLEX I, SUBUNIT ND6; MTND6",Asterisk
516020,CYTOCHROME b OF COMPLEX III; MTCYB,Asterisk
516030,"COMPLEX IV, CYTOCHROME c OXIDASE SUBUNIT I; MTCO1",Asterisk
516040,"COMPLEX IV, CYTOCHROME c OXIDASE SUBUNIT II; MTCO2",Asterisk
516050,CYTOCHROME c OXIDASE III; MTCO3,Asterisk
516060,ATP SYNTHASE 6; MTATP6,Plus
516070,ATP SYNTHASE 8; MTATP8,Plus
520000,"DIABETES AND DEAFNESS, MATERNALLY INHERITED; MIDD",Number Sign
520100,"DIARRHEA, CHRONIC, WITH VILLOUS ATROPHY",Number Sign
530000,KEARNS-SAYRE SYNDROME; KSS,Number Sign
535000,LEBER OPTIC ATROPHY,Number Sign
540000,"MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE EPISODES; MELAS",Number Sign
545000,MYOCLONIC EPILEPSY ASSOCIATED WITH RAGGED-RED FIBERS; MERRF,Number Sign
550000,MOVED TO 157640,Caret
550500,"MYOGLOBINURIA, RECURRENT",Number Sign
550900,MOVED TO 603041,Caret
551000,"MITOCHONDRIAL MYOPATHY, LETHAL, INFANTILE; LIMM",Number Sign
551200,"NEPHROPATHY, CHRONIC TUBULOINTERSTITIAL",Number Sign
551500,"NEUROPATHY, ATAXIA, AND RETINITIS PIGMENTOSA",Number Sign
553000,ONCOCYTOMA,Number Sign
555000,MOVED TO 607313,Caret
556500,"PARKINSON DISEASE, MITOCHONDRIAL",Number Sign
557000,PEARSON MARROW-PANCREAS SYNDROME,Number Sign
560000,"RENAL TUBULOPATHY, DIABETES MELLITUS, AND CEREBELLAR ATAXIA",Number Sign
561000,"RIBOSOMAL RNA, MITOCHONDRIAL, 12S; MTRNR1",Asterisk
561010,"RIBOSOMAL RNA, MITOCHONDRIAL, 16S; MTRNR2",Asterisk
580000,"DEAFNESS, AMINOGLYCOSIDE-INDUCED",Number Sign
590000,"TRANSFER RNA, MITOCHONDRIAL, ALANINE; MTTA",Asterisk
590005,"TRANSFER RNA, MITOCHONDRIAL, ARGININE; MTTR",Asterisk
590010,"TRANSFER RNA, MITOCHONDRIAL, ASPARAGINE; MTTN",Asterisk
590015,"TRANSFER RNA, MITOCHONDRIAL, ASPARTIC ACID; MTTD",Asterisk
590020,"TRANSFER RNA, MITOCHONDRIAL, CYSTEINE; MTTC",Asterisk
590025,"TRANSFER RNA, MITOCHONDRIAL, GLUTAMIC ACID; MTTE",Asterisk
590030,"TRANSFER RNA, MITOCHONDRIAL, GLUTAMINE; MTTQ",Asterisk
590035,"TRANSFER RNA, MITOCHONDRIAL, GLYCINE; MTTG",Asterisk
